Category,Region,Age,Gender,Month,Price,Quantity,Revenue,Rating,Discount_Pct,Delivery_Days,Returned,Payment_Method
Home & Kitchen,West,36,Female,3,211.42,3,634.26,3.8,5,8,0,Debit Card
Sports,East,36,Female,1,66.08,1,66.08,3.8,10,9,1,Credit Card
Home & Kitchen,West,29,Female,11,207.49,1,207.49,3.3,10,2,0,COD
Electronics,West,54,Male,2,286.82,5,1434.1,3.3,20,7,0,Net Banking
Electronics,North,59,Female,12,448.33,2,896.66,3.4,20,9,0,Credit Card
Home & Kitchen,North,34,Male,12,126.29,2,252.58,3.7,15,9,0,Credit Card
Electronics,East,54,Female,3,615.27,1,615.27,5.0,20,5,0,UPI
Home & Kitchen,South,56,Female,7,111.39,1,111.39,4.3,15,1,0,UPI
Beauty,West,45,Female,3,48.58,5,242.9,4.2,30,6,0,UPI
Home & Kitchen,West,58,Female,6,213.53,1,213.53,4.1,5,8,0,UPI
Clothing,South,52,Male,2,80.84,1,80.84,4.3,15,1,0,Debit Card
Home & Kitchen,North,64,Female,4,144.38,2,288.76,4.1,10,2,0,Credit Card
Clothing,East,35,Male,6,59.11,2,118.22,3.6,5,1,0,Net Banking
Home & Kitchen,North,31,Female,6,173.0,2,346.0,3.4,0,5,0,Net Banking
Beauty,West,52,Male,12,27.78,1,27.78,4.0,15,2,0,UPI
Clothing,South,61,Male,10,42.86,1,42.86,4.3,5,4,0,Net Banking
Beauty,East,58,Female,10,59.37,1,59.37,4.0,5,1,0,Credit Card
Sports,North,24,Female,7,85.85,4,343.4,3.2,30,7,1,Credit Card
Electronics,East,58,Female,11,610.39,1,610.39,3.0,20,8,0,Debit Card
Electronics,South,30,Male,5,589.34,3,1768.02,3.8,20,5,0,UPI
Electronics,East,35,Female,9,509.76,3,1529.28,3.4,20,2,0,UPI
Electronics,North,54,Male,12,553.62,3,1660.86,3.7,30,8,1,COD
Electronics,East,30,Female,5,490.28,3,1470.84,4.6,15,1,0,COD
Books,West,53,Male,9,18.77,1,18.77,4.2,5,7,0,Debit Card
Electronics,North,48,Female,11,531.53,1,531.53,3.5,20,1,0,Net Banking
Clothing,North,19,Female,11,55.39,2,110.78,4.0,20,6,0,Credit Card
Sports,North,33,Female,9,83.99,1,83.99,4.8,10,6,0,Credit Card
Electronics,East,26,Male,5,554.08,2,1108.16,3.8,10,5,0,Debit Card
Sports,East,26,Male,5,105.73,2,211.46,2.6,10,2,0,UPI
Clothing,East,55,Female,1,106.08,3,318.24,4.1,25,2,1,UPI
Electronics,North,28,Male,10,299.47,1,299.47,4.1,5,9,0,UPI
Books,South,39,Female,1,33.23,4,132.92,4.2,30,5,0,Debit Card
Home & Kitchen,East,50,Male,11,84.07,1,84.07,3.7,25,5,0,Credit Card
Sports,South,53,Male,2,116.59,2,233.18,3.4,15,7,0,Debit Card
Books,West,62,Female,3,37.88,1,37.88,5.0,15,6,0,Credit Card
Sports,North,40,Female,7,110.66,3,331.98,2.9,10,2,0,Credit Card
Clothing,East,62,Female,10,59.77,1,59.77,3.6,0,1,0,UPI
Electronics,South,62,Female,3,223.16,4,892.64,3.7,0,5,0,Credit Card
Books,South,51,Male,7,18.58,4,74.32,4.6,20,4,0,COD
Sports,East,26,Female,7,114.47,3,343.41,4.4,10,3,0,Credit Card
Beauty,East,41,Male,4,77.46,1,77.46,4.0,0,2,0,Credit Card
Clothing,West,25,Female,2,55.11,3,165.33,3.9,5,2,0,UPI
Clothing,North,24,Female,11,96.33,3,288.99,3.9,25,4,0,UPI
Books,North,53,Male,7,40.99,1,40.99,4.7,10,2,0,Credit Card
Clothing,East,35,Female,1,79.63,1,79.63,4.3,25,4,0,Credit Card
Beauty,East,20,Female,10,63.14,1,63.14,3.8,5,3,0,COD
Sports,North,45,Male,12,134.13,1,134.13,4.0,10,9,0,Debit Card
Clothing,North,23,Female,8,59.33,2,118.66,4.0,0,7,0,UPI
Books,North,61,Male,7,23.91,5,119.55,4.1,10,3,0,UPI
Books,West,61,Male,11,15.02,1,15.02,4.4,15,8,0,Credit Card
Electronics,North,38,Female,12,614.5,2,1229.0,3.9,5,9,1,UPI
Sports,South,45,Female,10,144.59,5,722.95,3.9,15,7,0,Debit Card
Home & Kitchen,North,57,Female,7,182.1,1,182.1,3.1,15,6,0,COD
Sports,South,18,Female,8,59.07,3,177.21,3.3,15,4,0,Credit Card
Clothing,North,53,Female,9,73.91,2,147.82,4.2,20,5,0,Net Banking
Sports,South,38,Female,4,61.39,2,122.78,3.2,5,8,0,Credit Card
Clothing,North,60,Male,7,40.24,1,40.24,4.0,15,3,0,Credit Card
Electronics,West,52,Male,10,468.8,2,937.6,3.9,30,2,0,Credit Card
Sports,North,30,Male,9,149.0,1,149.0,4.3,25,3,0,Credit Card
Electronics,East,27,Male,6,589.2,3,1767.6,4.2,25,7,0,COD
Clothing,West,61,Female,9,93.35,1,93.35,3.6,10,8,0,UPI
Beauty,East,64,Male,2,32.22,3,96.66,4.0,20,1,0,Credit Card
Beauty,East,27,Male,6,41.8,1,41.8,3.1,15,7,0,COD
Home & Kitchen,South,63,Male,10,118.09,1,118.09,3.7,0,9,0,Net Banking
Home & Kitchen,South,30,Female,4,181.89,2,363.78,3.2,20,3,0,Debit Card
Clothing,East,54,Female,3,101.58,1,101.58,3.7,15,3,0,COD
Clothing,West,55,Female,12,69.04,3,207.12,3.5,0,8,0,Credit Card
Clothing,East,41,Female,4,71.59,5,357.95,3.4,0,4,0,Net Banking
Books,East,19,Female,4,16.34,3,49.02,4.8,20,8,0,Debit Card
Books,East,39,Female,12,23.67,1,23.67,3.6,0,5,0,Net Banking
Books,South,34,Male,10,28.54,2,57.08,3.7,0,3,0,Net Banking
Books,North,53,Female,9,18.51,2,37.02,3.9,10,4,0,UPI
Electronics,East,31,Female,11,400.37,3,1201.11,3.7,0,4,0,Net Banking
Home & Kitchen,West,27,Female,2,194.86,1,194.86,3.4,25,8,0,Credit Card
Electronics,North,52,Female,9,454.15,2,908.3,3.7,10,6,0,UPI
Home & Kitchen,East,42,Male,7,83.37,2,166.74,4.0,15,7,0,Credit Card
Clothing,North,20,Female,10,53.95,1,53.95,4.1,25,9,0,COD
Sports,East,64,Female,7,99.4,1,99.4,4.1,10,6,0,Credit Card
Clothing,North,55,Male,8,67.2,1,67.2,2.8,10,3,0,UPI
Electronics,South,34,Female,7,360.67,3,1082.01,4.1,20,3,0,UPI
Electronics,East,29,Male,7,432.29,4,1729.16,4.1,10,3,0,COD
Books,South,41,Female,10,32.53,2,65.06,3.9,5,2,0,UPI
Home & Kitchen,East,46,Female,8,186.75,1,186.75,4.6,15,1,0,Net Banking
Electronics,East,60,Male,8,353.21,1,353.21,4.4,20,1,0,Net Banking
Electronics,West,42,Female,7,548.3,5,2741.5,3.8,20,4,0,UPI
Books,North,53,Male,7,25.16,5,125.8,3.9,30,3,1,UPI
Electronics,South,43,Female,10,233.28,4,933.12,4.7,20,5,0,Debit Card
Sports,North,55,Male,10,107.53,3,322.59,3.8,20,9,0,COD
Books,West,18,Female,9,32.64,1,32.64,4.2,20,8,0,Debit Card
Electronics,West,37,Male,12,602.51,3,1807.53,3.9,0,9,0,Credit Card
Electronics,East,45,Female,10,514.95,1,514.95,5.0,10,5,0,COD
Beauty,West,33,Male,8,76.56,1,76.56,4.0,20,8,1,UPI
Clothing,South,64,Female,9,109.85,2,219.7,3.8,15,4,0,UPI
Clothing,East,34,Female,12,86.16,1,86.16,3.4,0,5,0,Net Banking
Sports,North,57,Female,8,104.83,1,104.83,3.6,5,3,0,Credit Card
Beauty,East,45,Female,10,57.1,1,57.1,3.6,5,5,0,Net Banking
Beauty,North,29,Female,9,79.83,1,79.83,3.7,15,3,0,Debit Card
Books,West,44,Male,8,38.2,4,152.8,3.3,20,5,0,COD
Clothing,East,59,Male,4,47.29,1,47.29,4.2,25,5,0,Credit Card
Electronics,East,64,Male,6,536.94,1,536.94,4.0,20,6,0,UPI
Books,North,47,Female,12,20.12,1,20.12,4.3,20,9,0,Net Banking
Home & Kitchen,South,58,Female,9,136.42,1,136.42,3.8,10,1,0,Credit Card
Clothing,North,51,Male,8,55.42,1,55.42,3.8,10,6,0,Credit Card
Sports,South,54,Female,12,121.34,2,242.68,4.6,10,1,0,COD
Electronics,North,23,Female,8,578.47,1,578.47,3.5,15,6,0,Credit Card
Home & Kitchen,West,24,Female,7,113.81,3,341.43,3.9,0,2,0,COD
Electronics,East,49,Male,10,244.44,5,1222.2,4.0,15,8,0,Credit Card
Clothing,South,49,Male,9,62.28,2,124.56,4.4,15,3,0,UPI
Electronics,South,42,Female,4,492.39,1,492.39,4.1,10,6,0,Debit Card
Electronics,South,50,Female,7,348.08,1,348.08,4.1,25,6,0,Debit Card
Electronics,East,24,Male,7,326.81,3,980.43,3.3,15,4,0,Debit Card
Home & Kitchen,South,29,Female,6,98.56,2,197.12,3.4,5,5,1,UPI
Books,West,33,Female,7,29.93,3,89.79,3.6,10,2,0,Net Banking
Home & Kitchen,South,33,Female,6,111.74,3,335.22,2.6,15,8,0,Credit Card
Beauty,West,60,Female,4,66.47,4,265.88,4.3,5,7,0,UPI
Clothing,West,53,Male,6,44.98,4,179.92,3.7,0,6,0,Credit Card
Clothing,North,30,Male,2,90.79,2,181.58,4.0,15,7,0,Debit Card
Sports,West,24,Female,8,75.23,1,75.23,3.8,25,1,0,Credit Card
Electronics,North,53,Male,11,415.5,5,2077.5,4.0,10,5,0,UPI
Beauty,West,64,Male,9,42.45,2,84.9,4.8,25,7,0,UPI
Electronics,South,26,Male,6,513.56,1,513.56,3.9,20,1,0,Credit Card
Beauty,West,49,Male,2,78.05,2,156.1,4.4,0,2,0,Credit Card
Electronics,West,28,Male,4,595.17,2,1190.34,3.7,15,9,0,Debit Card
Sports,West,25,Male,8,110.51,4,442.04,4.2,10,3,0,UPI
Home & Kitchen,East,50,Male,4,138.62,2,277.24,3.2,5,6,0,Net Banking
Beauty,South,40,Male,8,71.19,1,71.19,3.2,15,7,0,Debit Card
Electronics,North,42,Female,4,497.0,5,2485.0,5.0,20,9,0,Credit Card
Home & Kitchen,South,25,Female,11,98.43,3,295.29,4.7,0,5,0,Debit Card
Beauty,North,62,Female,6,71.33,2,142.66,3.1,25,4,0,Credit Card
Home & Kitchen,East,39,Male,4,133.76,1,133.76,3.8,20,2,0,Net Banking
Home & Kitchen,South,21,Male,10,99.21,1,99.21,3.9,25,3,0,COD
Books,West,57,Female,5,23.45,2,46.9,4.6,5,5,0,UPI
Clothing,East,20,Female,2,59.87,1,59.87,4.7,25,2,0,Debit Card
Home & Kitchen,West,46,Male,8,146.77,1,146.77,3.3,10,4,0,Credit Card
Home & Kitchen,North,58,Male,8,105.75,2,211.5,3.3,0,1,0,UPI
Sports,West,46,Female,9,63.6,2,127.2,3.8,20,4,0,Net Banking
Electronics,West,51,Male,4,261.95,1,261.95,3.4,15,7,0,Credit Card
Clothing,South,51,Male,7,84.5,1,84.5,2.4,15,3,0,Credit Card
Beauty,East,45,Female,5,66.68,1,66.68,4.0,10,8,0,UPI
Sports,East,30,Female,2,83.8,3,251.4,4.2,0,6,0,Debit Card
Clothing,North,32,Male,11,41.7,1,41.7,3.8,15,6,0,UPI
Home & Kitchen,South,40,Male,9,90.32,1,90.32,4.1,10,1,0,COD
Clothing,South,61,Female,5,110.35,2,220.7,4.0,15,5,0,Credit Card
Electronics,North,43,Male,8,417.29,5,2086.45,3.4,10,3,0,UPI
Clothing,South,21,Male,4,74.38,2,148.76,3.8,30,1,0,Debit Card
Clothing,North,43,Male,11,41.97,1,41.97,3.0,15,8,0,Credit Card
Home & Kitchen,North,57,Female,2,176.92,1,176.92,3.5,20,7,0,Debit Card
Electronics,North,26,Male,1,431.79,3,1295.37,3.9,25,7,0,Credit Card
Beauty,West,22,Female,7,37.91,1,37.91,4.1,15,4,0,Credit Card
Beauty,East,49,Female,8,32.94,2,65.88,3.5,0,6,0,Credit Card
Books,West,37,Female,8,26.5,1,26.5,3.7,0,9,0,COD
Home & Kitchen,South,28,Female,1,192.55,1,192.55,3.9,15,3,0,UPI
Clothing,South,32,Male,5,106.49,3,319.47,4.2,5,9,0,Net Banking
Sports,South,49,Male,7,112.49,2,224.98,3.7,15,4,0,UPI
Books,South,45,Male,4,36.83,2,73.66,4.1,5,5,0,Debit Card
Electronics,North,39,Male,11,258.37,1,258.37,4.4,5,7,0,UPI
Sports,East,58,Female,2,110.99,1,110.99,3.4,10,6,0,COD
Sports,North,34,Male,7,119.03,2,238.06,4.7,30,8,0,Debit Card
Beauty,East,43,Male,9,37.84,2,75.68,3.4,15,8,0,Debit Card
Books,East,61,Male,4,41.4,1,41.4,4.7,25,8,0,Credit Card
Home & Kitchen,North,24,Female,8,100.08,1,100.08,4.1,25,3,0,UPI
Clothing,North,59,Male,10,63.45,1,63.45,5.0,5,6,0,UPI
Beauty,East,43,Male,4,60.51,5,302.55,3.5,5,7,0,COD
Sports,South,42,Male,11,116.11,3,348.33,2.6,20,9,1,Credit Card
Electronics,North,27,Female,8,503.74,4,2014.96,4.5,20,4,0,Credit Card
Electronics,West,62,Female,5,257.04,1,257.04,3.2,10,5,0,UPI
Clothing,North,36,Male,6,105.26,5,526.3,4.1,30,8,0,Credit Card
Sports,East,28,Male,5,105.35,1,105.35,4.4,0,1,0,Credit Card
Beauty,West,30,Male,9,52.45,2,104.9,4.3,5,6,0,Net Banking
Electronics,North,25,Male,10,622.06,3,1866.18,4.0,15,4,0,UPI
Home & Kitchen,North,57,Female,11,178.61,1,178.61,4.0,10,5,0,Net Banking
Clothing,North,21,Female,12,48.2,1,48.2,4.2,0,5,0,Net Banking
Beauty,South,64,Male,10,67.85,1,67.85,4.4,10,2,0,Credit Card
Sports,North,48,Female,8,60.72,1,60.72,3.2,0,8,0,UPI
Sports,East,45,Male,5,53.8,2,107.6,4.7,15,2,0,Credit Card
Clothing,North,28,Female,8,70.48,2,140.96,3.8,25,4,0,COD
Clothing,South,60,Female,1,116.5,3,349.5,4.1,25,5,0,UPI
Clothing,West,18,Male,10,52.64,2,105.28,4.2,15,1,0,UPI
Electronics,West,64,Female,7,492.51,2,985.02,4.5,10,6,0,UPI
Sports,East,55,Male,1,68.69,1,68.69,4.3,10,2,0,UPI
Sports,South,41,Male,2,124.93,1,124.93,3.9,0,5,0,Credit Card
Beauty,East,64,Male,6,54.29,5,271.45,4.1,5,6,0,UPI
Beauty,South,48,Male,8,63.72,1,63.72,4.3,0,8,0,Net Banking
Home & Kitchen,South,58,Female,7,101.21,2,202.42,4.4,20,9,0,Net Banking
Books,North,63,Female,8,37.37,1,37.37,3.6,25,6,0,UPI
Beauty,West,43,Female,7,80.76,2,161.52,4.4,10,5,0,UPI
Sports,South,22,Female,9,118.9,2,237.8,3.4,15,4,0,Net Banking
Electronics,North,37,Female,4,417.26,1,417.26,4.8,0,2,0,Credit Card
Clothing,South,58,Male,2,111.01,1,111.01,4.0,15,2,0,COD
Electronics,South,28,Male,8,216.66,2,433.32,3.7,15,7,0,Credit Card
Beauty,West,50,Male,7,66.42,1,66.42,4.3,10,5,0,Debit Card
Home & Kitchen,East,55,Female,1,199.98,1,199.98,3.8,5,7,0,Debit Card
Electronics,East,44,Female,6,235.9,2,471.8,3.8,20,1,0,UPI
Books,North,51,Male,2,28.5,1,28.5,3.3,20,1,0,Net Banking
Home & Kitchen,South,32,Female,7,101.48,3,304.44,3.3,25,5,0,Credit Card
Clothing,South,49,Female,6,83.19,2,166.38,3.7,20,2,0,UPI
Electronics,North,38,Female,8,482.81,1,482.81,3.1,30,8,0,UPI
Books,North,63,Male,10,24.08,2,48.16,3.9,0,3,0,Net Banking
Home & Kitchen,East,22,Male,5,138.24,2,276.48,3.6,0,1,0,Credit Card
Books,North,23,Male,12,23.38,1,23.38,3.8,5,2,0,Net Banking
Home & Kitchen,East,55,Male,7,125.19,1,125.19,4.2,0,7,0,UPI
Sports,North,39,Male,8,67.27,1,67.27,3.4,10,6,0,Credit Card
Home & Kitchen,North,35,Female,9,199.52,1,199.52,3.8,15,8,0,Debit Card
Home & Kitchen,North,31,Male,9,73.44,1,73.44,3.6,15,7,0,Credit Card
Sports,West,27,Female,7,141.01,1,141.01,3.7,5,8,0,UPI
Clothing,West,63,Female,6,83.59,1,83.59,4.6,25,3,0,Credit Card
Electronics,West,30,Female,1,349.3,2,698.6,4.0,0,6,0,UPI
Electronics,South,48,Male,1,513.68,2,1027.36,4.1,5,7,0,Debit Card
Books,North,47,Female,6,30.23,2,60.46,3.8,15,1,0,UPI
Home & Kitchen,East,20,Female,5,143.87,3,431.61,4.1,20,1,0,UPI
Books,South,47,Male,6,18.3,3,54.9,4.5,10,7,0,UPI
Electronics,West,23,Male,3,373.6,2,747.2,4.1,0,3,0,Credit Card
Electronics,North,46,Female,10,311.25,2,622.5,3.3,15,3,0,UPI
Electronics,South,25,Male,11,216.59,1,216.59,3.6,0,5,0,COD
Clothing,North,61,Male,12,67.09,4,268.36,4.5,0,6,0,Net Banking
Home & Kitchen,South,62,Male,7,84.93,1,84.93,3.5,15,2,0,Credit Card
Clothing,East,60,Male,9,59.03,1,59.03,4.6,5,3,0,Credit Card
Clothing,South,61,Female,11,46.22,2,92.44,3.5,5,6,0,COD
Sports,South,50,Male,6,61.3,1,61.3,3.9,10,3,0,UPI
Clothing,South,34,Female,5,54.52,1,54.52,3.7,30,5,0,UPI
Home & Kitchen,South,28,Female,12,215.98,2,431.96,3.4,30,9,0,Net Banking
Books,East,30,Female,7,15.07,2,30.14,3.8,10,3,0,UPI
Clothing,West,28,Female,7,88.82,2,177.64,3.4,5,6,0,UPI
Home & Kitchen,West,48,Female,3,92.34,3,277.02,3.9,5,5,0,COD
Sports,East,45,Male,2,144.9,1,144.9,4.2,5,5,0,Debit Card
Beauty,South,61,Female,11,32.06,1,32.06,4.1,10,6,0,Credit Card
Electronics,East,23,Female,8,611.13,2,1222.26,3.9,15,6,0,Credit Card
Beauty,South,58,Female,5,59.99,1,59.99,4.7,10,1,0,Credit Card
Home & Kitchen,North,33,Female,4,72.18,2,144.36,3.8,10,9,0,Net Banking
Clothing,West,21,Male,8,108.73,1,108.73,3.5,5,5,0,Credit Card
Clothing,North,52,Male,8,79.69,2,159.38,3.3,10,1,0,Credit Card
Beauty,West,43,Female,4,41.18,2,82.36,4.7,5,8,0,COD
Home & Kitchen,South,29,Male,11,182.49,2,364.98,3.6,10,7,0,Credit Card
Clothing,East,28,Female,2,111.28,2,222.56,3.5,15,7,0,Credit Card
Home & Kitchen,East,54,Male,6,141.65,2,283.3,3.5,15,5,0,Credit Card
Electronics,West,42,Male,9,342.53,1,342.53,4.5,10,1,0,Credit Card
Electronics,East,35,Male,5,541.36,1,541.36,3.6,15,9,0,UPI
Electronics,East,36,Male,10,496.35,1,496.35,4.4,5,9,0,COD
Electronics,North,40,Female,10,583.28,1,583.28,3.8,0,8,0,Net Banking
Electronics,South,55,Male,10,500.86,1,500.86,3.3,15,5,0,UPI
Electronics,North,35,Female,2,312.28,2,624.56,3.7,5,3,0,UPI
Home & Kitchen,East,43,Female,3,206.16,1,206.16,3.8,15,8,0,UPI
Electronics,South,23,Male,5,254.03,2,508.06,3.8,20,1,0,Credit Card
Clothing,East,21,Female,7,59.9,3,179.7,3.7,25,3,0,Credit Card
Sports,North,61,Female,10,104.06,1,104.06,3.6,25,7,0,COD
Home & Kitchen,North,46,Female,11,153.47,1,153.47,3.4,0,4,0,Credit Card
Home & Kitchen,East,51,Male,9,74.2,1,74.2,3.8,30,7,0,Credit Card
Electronics,North,34,Female,12,537.84,2,1075.68,4.2,15,5,0,UPI
Electronics,North,60,Female,10,361.88,1,361.88,3.2,15,6,0,UPI
Electronics,North,60,Male,5,380.7,1,380.7,4.5,0,7,0,Credit Card
Electronics,West,33,Male,4,549.94,2,1099.88,2.1,20,7,1,Credit Card
Clothing,East,19,Female,9,68.58,1,68.58,3.8,0,7,1,UPI
Electronics,South,51,Male,4,229.83,2,459.66,4.1,20,7,0,Debit Card
Electronics,South,25,Female,2,284.1,2,568.2,3.6,0,7,0,Credit Card
Electronics,South,30,Male,7,611.48,2,1222.96,2.8,15,3,0,UPI
Clothing,East,59,Female,10,44.49,1,44.49,3.8,10,3,0,UPI
Electronics,East,25,Female,2,359.07,3,1077.21,4.0,5,7,0,COD
Clothing,North,47,Male,10,78.25,2,156.5,3.2,0,2,0,UPI
Home & Kitchen,North,49,Male,10,143.03,1,143.03,3.4,10,2,0,Credit Card
Books,North,53,Female,7,15.12,1,15.12,4.7,0,3,0,UPI
Electronics,East,64,Female,1,420.49,1,420.49,4.0,10,4,0,Debit Card
Books,East,47,Female,3,26.51,3,79.53,3.4,15,6,0,Credit Card
Home & Kitchen,North,18,Male,9,211.98,3,635.94,4.0,20,8,0,UPI
Electronics,North,60,Male,9,276.85,2,553.7,3.4,15,7,0,Credit Card
Sports,North,56,Male,11,87.12,3,261.36,3.4,0,4,0,Credit Card
Beauty,West,34,Female,8,49.65,1,49.65,4.2,5,2,0,UPI
Electronics,South,37,Male,3,374.09,1,374.09,4.0,5,2,0,Credit Card
Clothing,East,41,Male,3,90.93,4,363.72,3.6,25,4,0,Net Banking
Sports,East,39,Female,9,72.98,3,218.94,3.5,20,6,0,Debit Card
Books,South,46,Female,3,21.63,2,43.26,4.1,10,3,0,UPI
Electronics,North,39,Male,5,516.27,3,1548.81,3.5,0,6,0,UPI
Electronics,North,61,Male,7,420.12,4,1680.48,4.4,25,5,0,UPI
Clothing,East,26,Female,1,71.38,3,214.14,3.0,25,5,0,Credit Card
Home & Kitchen,East,54,Female,4,96.37,3,289.11,3.7,20,2,0,COD
Home & Kitchen,East,27,Male,6,99.0,3,297.0,3.1,20,8,0,COD
Clothing,East,53,Female,5,39.82,1,39.82,4.3,10,5,0,Credit Card
Clothing,North,54,Female,3,46.13,3,138.39,3.7,0,2,0,Credit Card
Books,West,45,Male,9,31.71,1,31.71,3.7,10,7,0,Credit Card
Electronics,East,45,Male,10,584.59,4,2338.36,4.2,10,9,0,Debit Card
Clothing,South,59,Male,4,61.4,2,122.8,2.7,10,9,0,Debit Card
Books,West,60,Female,10,24.83,2,49.66,4.3,10,1,0,Net Banking
Sports,East,38,Male,6,62.79,2,125.58,4.4,5,7,0,Debit Card
Home & Kitchen,East,41,Female,7,127.96,1,127.96,3.9,10,9,0,UPI
Home & Kitchen,East,59,Female,11,77.36,1,77.36,3.5,10,6,0,Debit Card
Electronics,West,57,Male,10,595.39,5,2976.95,3.3,0,1,0,Debit Card
Clothing,East,19,Female,10,91.5,5,457.5,4.3,10,2,0,UPI
Home & Kitchen,North,25,Female,3,214.67,1,214.67,4.3,20,4,0,UPI
Electronics,South,44,Male,2,580.79,5,2903.95,3.6,20,4,0,Debit Card
Clothing,West,39,Male,11,75.89,3,227.67,3.5,10,2,0,UPI
Clothing,North,54,Male,6,79.54,2,159.08,4.4,10,8,0,Debit Card
Electronics,South,44,Female,5,290.04,1,290.04,4.2,0,2,1,Debit Card
Clothing,South,46,Female,9,75.04,4,300.16,2.9,15,3,0,Debit Card
Electronics,South,20,Male,11,589.27,2,1178.54,3.8,10,4,0,Debit Card
Clothing,East,61,Female,11,42.97,3,128.91,3.7,10,9,0,UPI
Electronics,West,30,Female,5,572.69,3,1718.07,4.0,20,1,0,Debit Card
Sports,North,62,Female,11,85.78,3,257.34,3.8,10,8,0,UPI
Home & Kitchen,North,27,Male,1,201.53,2,403.06,3.5,0,5,0,Credit Card
Books,North,53,Male,1,43.23,1,43.23,4.3,5,7,1,Credit Card
Books,West,26,Male,8,35.13,1,35.13,4.0,10,8,0,UPI
Home & Kitchen,East,44,Female,2,167.68,1,167.68,5.0,10,5,0,Debit Card
Electronics,South,51,Male,5,400.16,1,400.16,4.0,20,8,0,COD
Home & Kitchen,West,18,Female,9,192.32,2,384.64,3.8,10,8,0,UPI
Home & Kitchen,West,49,Male,5,210.47,2,420.94,4.7,15,9,0,UPI
Books,West,42,Male,3,38.25,3,114.75,3.5,10,2,0,Credit Card
Clothing,West,46,Male,5,87.51,1,87.51,3.7,10,3,0,Credit Card
Electronics,North,24,Female,7,464.85,2,929.7,3.4,10,1,0,Net Banking
Clothing,East,20,Male,7,105.26,1,105.26,4.1,10,4,0,Credit Card
Clothing,South,37,Male,10,81.21,1,81.21,3.6,10,5,0,Debit Card
Home & Kitchen,West,37,Female,10,187.76,1,187.76,4.1,5,1,0,Debit Card
Home & Kitchen,East,47,Male,7,145.28,2,290.56,4.1,25,8,0,UPI
Clothing,East,52,Male,11,43.87,1,43.87,4.2,5,2,0,Net Banking
Beauty,East,52,Female,2,47.73,2,95.46,4.4,0,1,0,UPI
Home & Kitchen,North,56,Male,4,136.0,1,136.0,3.7,0,2,0,Credit Card
Electronics,East,44,Male,10,269.48,3,808.44,3.2,0,5,0,COD
Electronics,West,43,Male,6,253.05,3,759.15,4.4,10,9,0,Net Banking
Electronics,West,31,Male,12,434.9,4,1739.6,4.6,0,9,0,Credit Card
Electronics,North,34,Male,7,245.76,3,737.28,3.4,0,2,0,Credit Card
Electronics,North,35,Male,10,337.24,4,1348.96,4.3,10,2,0,Credit Card
Electronics,North,62,Male,6,522.73,3,1568.19,3.3,15,3,0,Credit Card
Clothing,East,46,Male,6,114.23,2,228.46,3.9,0,7,0,COD
Electronics,West,37,Female,6,511.51,1,511.51,4.1,10,3,0,UPI
Sports,North,44,Male,9,152.25,1,152.25,3.6,20,1,0,UPI
Electronics,South,35,Male,8,503.3,1,503.3,3.9,30,6,0,COD
Home & Kitchen,West,21,Female,12,114.31,2,228.62,4.2,15,3,0,UPI
Clothing,East,18,Female,4,91.42,2,182.84,3.7,5,1,0,UPI
Beauty,East,18,Male,2,64.92,3,194.76,3.8,15,4,0,COD
Electronics,East,43,Female,6,366.13,4,1464.52,3.3,15,1,0,Net Banking
Clothing,South,62,Male,8,40.38,1,40.38,3.6,5,1,0,Net Banking
Beauty,South,37,Male,11,64.97,2,129.94,3.5,20,2,0,UPI
Sports,East,40,Female,5,53.21,5,266.05,3.6,10,8,0,Net Banking
Sports,East,27,Male,9,115.38,1,115.38,3.6,30,2,0,Credit Card
Clothing,West,28,Male,6,51.76,3,155.28,4.2,15,2,0,UPI
Electronics,East,58,Male,8,447.55,1,447.55,3.9,15,8,0,COD
Home & Kitchen,East,58,Female,11,144.56,2,289.12,5.0,15,6,0,Credit Card
Beauty,North,22,Male,4,27.73,1,27.73,3.1,10,4,0,Net Banking
Home & Kitchen,South,18,Female,6,124.25,3,372.75,4.0,10,3,0,UPI
Home & Kitchen,North,34,Male,12,158.56,2,317.12,3.6,20,1,0,Credit Card
Clothing,North,39,Female,11,105.19,1,105.19,3.3,15,3,0,Net Banking
Books,East,51,Female,8,41.66,1,41.66,4.2,25,9,1,Credit Card
Electronics,West,62,Female,7,413.22,2,826.44,3.8,25,5,1,Debit Card
Clothing,North,58,Female,5,95.82,5,479.1,4.3,30,6,0,Credit Card
Clothing,South,46,Female,7,63.68,3,191.04,3.8,15,5,0,COD
Home & Kitchen,West,21,Male,11,121.27,2,242.54,3.5,10,1,0,Credit Card
Electronics,North,22,Male,9,291.67,1,291.67,4.1,0,1,0,Credit Card
Electronics,East,28,Male,5,446.02,2,892.04,3.8,15,4,0,Credit Card
Home & Kitchen,East,38,Female,4,117.3,2,234.6,3.2,5,3,0,COD
Clothing,East,52,Female,4,45.58,3,136.74,3.7,5,8,1,Debit Card
Home & Kitchen,North,29,Male,3,170.64,1,170.64,3.9,5,7,0,Debit Card
Electronics,South,43,Male,2,507.26,2,1014.52,3.9,20,7,0,UPI
Home & Kitchen,East,36,Male,6,123.84,2,247.68,4.0,20,8,0,UPI
Home & Kitchen,East,62,Female,2,83.05,4,332.2,3.5,15,7,0,Credit Card
